,Professor Name,Professor Prefix,Key Expertise,Languages,Title,Modules
"0,Dr Per  Ahblom,Dr,""Accounting & Finance Social Studies, Capital Markets, Financial Reporting"",""English, Swedish"",Assistant Professor of Accounting,""['AC200 Accounting Theory and Practice (Current students click here for course information)', 'AC424 Long Essay Tutor']"""
"1, Alnoor  Bhimani,Professor,""Accounting, Management Accounting, Tech Entrepreneurship"",English,Professor of Management Accounting,""['AC490 Management Accounting, Decisions and ControlCurrent students click here for course information']"""
"2,Dr Jose Carabias Palmei,Dr,""Accounting, Financial Statements Analysis, Asset Pricing"",English,Assistant Professor of Accounting,""['AC330 Financial Accounting, Analysis and Valuation Current students click here for course information', 'AC550 Quantitative Methods for Accounting and Finance Current students click here for course information']"""
"3,Dr Stefano  Cascin,Dr,""Disclosure Regulation, Business Groups, Credit Markets"",""English, Italian"",Associate Professor of Accounting,""['AC332 Financial Statement, Analysis and Valuation Current students click here for course information']"""
"4,Dr Maria Correia,Dr,""Credit Markets, Default Prediction, Business Groups, Corporate Governance"",English,Associate Professor of Accounting,['AC416 Topics in Financial Reporting']"
"5,Dr Pascal Frantz,Dr,""Corporate Finance, Mergers & Acquisitions, Private Equity, Venture Capital"",""English, French"",Lecturer in Accounting and Finance,['AC417 Corporate Financial Disclosure and Investor RelationsCurrent students click here for course information']"
"6,Dr Saipriya Kamath,Dr,""Accounting, Audit, Regulation, Innovation, Risk Disclosures"",English,Assistant Professor of Accounting,""['AC100 Elements of Accounting and Finance Current students click here for course information', 'AC102 Elements of Financial Accounting Current students click here for course information ', 'AC104 Elements of Accounting, Financial Institutions and Financial Management Current students click here for course information ']"""
"7,Dr Gulnaz  Khamidullina,Dr,""Corporate Reporting, Responsible Investment, ESG Reporting"",""English, Russian"",Assistant Professorial Lecturer ,""['AC102 Elements of Financial Accounting', 'AC103 Elements of Management Accounting, Financial Management and Financial Institutions']"""
"8,Dr Jeroen  Koenraadt,Dr,""Disclosure Regulation, Financial Intermediaries, Retail Investors"",""Dutch, English"",Assistant Professor of Accounting,['AC331 Contemporary Issues in Financial AccountingCurrent students click here for course information']"
9,Dr Ken L,Dr,Valuation Methodologies,English,Associate Professorial Lecturer – MSc Programme Director,
